candidate_id,label,reviewer,status,notes
candidate-0100,51F04275,visual-manual,accepted,all characters unambiguous
candidate-0102,51G25181,visual-manual,accepted,all characters unambiguous
candidate-0103,51A85325,visual-manual,accepted,all characters unambiguous
candidate-0104,51F32488,visual-manual,accepted,all characters unambiguous
candidate-0105,62A05516,visual-manual,accepted,all characters unambiguous
candidate-0106,51A01204,visual-manual,accepted,all characters unambiguous
candidate-0107,51F21255,visual-manual,accepted,all characters unambiguous
candidate-0108,51F63034,visual-manual,accepted,all characters unambiguous
candidate-0109,51G51936,visual-manual,accepted,all characters unambiguous
candidate-0114,51G39466,visual-manual,accepted,all characters unambiguous
candidate-0115,30V3993,visual-manual,accepted,all characters unambiguous
candidate-0118,51F77836,visual-manual,accepted,all characters unambiguous
candidate-0124,51F68784,visual-manual,accepted,all characters unambiguous
candidate-0128,51F79512,visual-manual,accepted,all characters unambiguous
candidate-0138,51G31691,visual-manual,accepted,all characters unambiguous
candidate-0169,48A05177,visual-manual,accepted,all characters unambiguous
candidate-0174,51F49142,visual-manual,accepted,all characters unambiguous
candidate-0180,51A16598,visual-manual,accepted,all characters unambiguous
candidate-0188,51G10209,visual-manual,accepted,all characters unambiguous
candidate-0189,51A05227,visual-manual,accepted,all characters unambiguous
candidate-0191,61A30001,visual-manual,accepted,all characters unambiguous
candidate-0197,51F59011,visual-manual,accepted,all characters unambiguous
candidate-0205,48A05177,visual-manual,accepted,all characters unambiguous
candidate-0207,30N4616,visual-manual,accepted,all characters unambiguous
candidate-0208,62A05772,visual-manual,accepted,all characters unambiguous
candidate-0210,51A77529,visual-manual,accepted,all characters unambiguous
candidate-0212,51G39466,visual-manual,accepted,all characters unambiguous
candidate-0219,51A89714,visual-manual,accepted,all characters unambiguous
candidate-0220,51D10039,visual-manual,accepted,all characters unambiguous
candidate-0221,51F73029,visual-manual,accepted,all characters unambiguous
candidate-0225,51A45974,visual-manual,accepted,all characters unambiguous
candidate-0227,51F04877,visual-manual,accepted,all characters unambiguous
candidate-0232,51G49160,visual-manual,accepted,all characters unambiguous
candidate-0233,51F63034,visual-manual,accepted,all characters unambiguous
candidate-0235,51F31118,visual-manual,accepted,all characters unambiguous
candidate-0239,86A06844,visual-manual,accepted,all characters unambiguous
candidate-0241,51F44614,visual-manual,accepted,all characters unambiguous
candidate-0243,51F24476,visual-manual,accepted,all characters unambiguous
candidate-0245,51G20536,visual-manual,accepted,all characters unambiguous
candidate-0247,51F88270,visual-manual,accepted,all characters unambiguous
candidate-0249,51F86988,visual-manual,accepted,all characters unambiguous
candidate-0250,51F63034,visual-manual,accepted,all characters unambiguous
candidate-0252,51G31691,visual-manual,accepted,all characters unambiguous
candidate-0255,51G20536,visual-manual,accepted,all characters unambiguous
